                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1472,                 6.2609,                 4.3177,                      0,                      0,                      0,                      0,                 5.5534,                 4.8816,                 4.1023,                 0.0928,                 0.0008,                 0.0008
                      1,                  4.641,                 5.0756,                 4.3406,                      0,                      0,                      0,                      0,                 5.4805,                 4.6126,                 4.0436,               0.084683,              0.0016832,              0.0016832
                      2,                 4.6085,                 4.7316,                 4.2097,                      0,                      0,                      0,                      0,                 5.4318,                 4.5328,                 4.0073,               0.076549,              0.0025485,              0.0025485
                      3,                 4.5613,                  4.544,                 4.1269,                      0,                      0,                      0,                      0,                 5.3975,                 4.4895,                  3.981,               0.068396,               0.003396,               0.003396
                      4,                 4.3237,                 4.4353,                 4.0767,                      0,                      0,                      0,                      0,                 5.3673,                 4.4598,                 3.9591,               0.060226,              0.0042258,              0.0042258
                      5,                 4.1826,                 4.2473,                 3.9878,                      0,                      0,                      0,                      0,                  5.356,                  4.458,                 3.9504,               0.052038,              0.0050376,              0.0050376
                      6,                 3.9061,                  4.008,                 3.8618,                      0,                      0,                      0,                      0,                 5.3574,                 4.4726,                 3.9531,               0.043832,              0.0058317,              0.0058317
                      7,                 3.8194,                 3.9142,                 3.6846,                      0,                      0,                      0,                      0,                 5.3633,                 4.4939,                 3.9647,               0.035608,               0.006608,               0.006608
                      8,                 3.7755,                 3.6284,                 3.4851,                      0,                      0,                      0,                      0,                 5.3806,                  4.531,                 3.9891,               0.027366,              0.0073664,              0.0073664
                      9,                 3.6137,                 3.5271,                  3.285,                      0,                      0,                      0,                      0,                 5.3968,                 4.5566,                 4.0115,               0.019107,               0.008107,               0.008107
                     10,                 3.5037,                 3.3931,                 3.1844,                      0,                      0,                      0,                      0,                 5.4082,                 4.5649,                 4.0259,                0.01083,              0.0088298,              0.0088298
                     11,                 3.4008,                 3.3146,                 3.1459,                      0,                      0,                      0,                      0,                 5.4369,                   4.57,                 4.0538,               0.008911,               0.008911,               0.008911
                     12,                 3.3752,                 3.5287,                 2.9835,                      0,                      0,                      0,                      0,                 5.3987,                 4.5746,                 4.0382,               0.008911,               0.008911,               0.008911
                     13,                 3.3789,                 3.3148,                 2.9891,                  0.003,                0.14286,                0.00571,                 0.0024,                 4.9959,                 4.3879,                 3.8382,               0.008812,               0.008812,               0.008812
                     14,                 3.1967,                 3.0087,                 2.9066,                0.18054,                0.04762,                0.02286,                0.01079,                 3.5301,                 3.4944,                 3.1267,               0.008713,               0.008713,               0.008713
                     15,                 3.2433,                 3.0996,                  2.934,                0.09413,                 0.5048,                0.05722,                0.01609,                 3.2243,                 3.4604,                 2.8509,               0.008614,               0.008614,               0.008614
                     16,                 3.1548,                 2.8341,                 2.7996,                0.03721,                0.09524,                 0.0173,                0.00573,                 3.0041,                 9.8344,                 2.8466,               0.008515,               0.008515,               0.008515
                     17,                 2.9879,                 2.6971,                  2.822,                0.17355,                0.47619,                0.14041,                0.04258,                 2.9977,                 6.7913,                 2.8755,               0.008416,               0.008416,               0.008416
                     18,                 2.9845,                 2.6362,                 2.7199,                0.12798,                0.47619,                0.10875,                0.04281,                 2.8043,                 14.285,                 2.7278,               0.008317,               0.008317,               0.008317
                     19,                 2.9403,                 2.6385,                 2.8187,                0.01425,                0.04762,                0.00313,                0.00126,                  4.241,                 44.982,                 4.1297,               0.008218,               0.008218,               0.008218
                     20,                 2.8233,                 2.4882,                 2.5951,                0.01094,                0.70121,                0.01063,                0.00364,                 3.1313,                 263.81,                 3.2974,               0.008119,               0.008119,               0.008119
                     21,                 2.7404,                 2.3006,                 2.5848,                0.01074,                0.04762,                0.00437,                0.00185,                 3.7928,                  78.46,                 4.0367,                0.00802,                0.00802,                0.00802
                     22,                 2.7123,                 2.4808,                  2.454,                0.00654,                0.38095,                0.00704,                0.00272,                 3.2954,                 230.48,                 3.9765,               0.007921,               0.007921,               0.007921
                     23,                 2.7567,                 2.1424,                 2.5567,                0.05985,                0.33333,                0.04646,                 0.0171,                 2.4862,                 29.782,                 2.6113,               0.007822,               0.007822,               0.007822
                     24,                 2.6171,                 2.0871,                 2.3866,                0.10266,                0.38095,                0.11662,                0.03128,                 2.6219,                 6.6138,                 2.5997,               0.007723,               0.007723,               0.007723
                     25,                 2.5695,                 2.1777,                 2.4327,                0.33991,                0.19048,                0.19339,                0.04285,                 2.7479,                  2.775,                 2.6056,               0.007624,               0.007624,               0.007624
                     26,                  2.552,                 2.1132,                 2.4253,                0.45032,                0.47619,                0.39601,                0.11565,                 2.5621,                 2.8065,                 2.5859,               0.007525,               0.007525,               0.007525
                     27,                 2.4296,                 1.9109,                 2.1849,                0.65709,                0.57143,                0.68728,                0.31005,                 1.9246,                 1.7489,                 2.1391,               0.007426,               0.007426,               0.007426
                     28,                 2.3644,                 1.9856,                 2.2664,                0.53571,                 0.7619,                0.60584,                0.22358,                 2.0803,                 1.8006,                 2.1542,               0.007327,               0.007327,               0.007327
                     29,                 2.3669,                 1.8068,                 2.1909,                0.54527,                0.66667,                0.62349,                0.23003,                 2.1283,                 1.7176,                 2.1187,               0.007228,               0.007228,               0.007228
                     30,                 2.3438,                 1.8355,                  2.194,                0.66044,                0.38095,                0.54212,                0.22484,                 2.1016,                 1.9123,                 2.1435,               0.007129,               0.007129,               0.007129
                     31,                 2.3318,                 1.6848,                 2.1726,                0.56726,                0.68709,                0.64534,                0.26643,                 2.1572,                 1.7373,                 2.1136,                0.00703,                0.00703,                0.00703
                     32,                 2.2132,                 1.6664,                 2.0849,                0.55394,                0.61905,                0.63472,                0.20908,                 2.3142,                 1.7352,                 2.1848,               0.006931,               0.006931,               0.006931
                     33,                 2.1503,                 1.5688,                 2.0254,                0.66993,                0.61905,                0.65251,                0.23232,                 2.2741,                 1.9164,                 2.1043,               0.006832,               0.006832,               0.006832
                     34,                 2.1406,                 1.6677,                 2.0319,                0.56614,                0.68394,                0.63646,                 0.2692,                 1.8295,                 3.0121,                 2.0028,               0.006733,               0.006733,               0.006733
                     35,                 2.1747,                 1.6357,                 2.0499,                0.82786,                0.47619,                0.64692,                0.23831,                  2.119,                 2.2891,                 2.1694,               0.006634,               0.006634,               0.006634
                     36,                 2.1023,                 1.5336,                 1.9972,                 0.4899,                0.80952,                0.69422,                0.29968,                  1.969,                 1.7824,                 2.0056,               0.006535,               0.006535,               0.006535
                     37,                 2.0067,                 1.5534,                 2.0027,                0.62779,                0.80952,                0.75885,                0.36587,                 1.8451,                 1.3358,                 1.9273,               0.006436,               0.006436,               0.006436
                     38,                 2.1672,                 1.5055,                 2.0354,                0.79617,                0.85714,                0.83649,                0.40805,                 1.6882,                 1.2752,                 1.8239,               0.006337,               0.006337,               0.006337
                     39,                 2.1487,                 1.4967,                 1.9298,                0.73172,                0.77978,                0.78773,                0.35834,                 1.9701,                 1.3871,                 1.9273,               0.006238,               0.006238,               0.006238
                     40,                 1.9845,                 1.4615,                  1.896,                0.77314,                0.71429,                0.76736,                0.24187,                 2.0974,                 1.9545,                 1.9787,               0.006139,               0.006139,               0.006139
                     41,                 1.9935,                 1.4887,                 1.9228,                0.91442,                0.50968,                0.65025,                0.15941,                 2.6682,                 1.8266,                 2.4036,                0.00604,                0.00604,                0.00604
                     42,                 1.9883,                 1.4585,                 1.9231,                0.71038,                0.85714,                 0.7545,                0.30779,                 2.0205,                 1.4567,                 1.9769,               0.005941,               0.005941,               0.005941
                     43,                 1.9622,                 1.3786,                 1.8694,                0.81234,                  0.825,                0.89531,                0.44095,                 1.7081,                 1.2573,                 1.7493,               0.005842,               0.005842,               0.005842
                     44,                 1.9048,                 1.3719,                 1.8185,                0.75834,                0.61905,                0.74449,                0.33956,                 1.9308,                   1.79,                 1.9639,               0.005743,               0.005743,               0.005743
                     45,                 1.9006,                 1.3647,                  1.839,                0.83524,                 0.7619,                0.84807,                0.46577,                 1.5656,                 1.2364,                 1.7387,               0.005644,               0.005644,               0.005644
                     46,                  1.827,                 1.3468,                 1.8293,                0.84327,                0.85714,                0.91216,                0.46818,                 1.6489,                  1.104,                 1.7263,               0.005545,               0.005545,               0.005545
                     47,                 1.8858,                 1.3098,                 1.8335,                0.80067,                 0.7619,                0.82524,                0.41801,                 1.9938,                 1.2681,                 1.9617,               0.005446,               0.005446,               0.005446
                     48,                 1.7958,                 1.1848,                 1.7373,                0.87687,                 0.6788,                0.85733,                0.45748,                 1.7162,                 1.1986,                 1.7429,               0.005347,               0.005347,               0.005347
                     49,                 1.8758,                 1.2899,                 1.7943,                0.90078,                0.71429,                0.89017,                0.47678,                 1.6737,                 1.2164,                 1.6864,               0.005248,               0.005248,               0.005248
                     50,                 1.9208,                 1.2442,                 1.7553,                0.84854,                0.85714,                0.91079,                0.49274,                 1.5301,                 1.2262,                  1.674,               0.005149,               0.005149,               0.005149
                     51,                 1.8036,                 1.2685,                 1.7326,                0.89949,                0.85253,                0.92117,                0.50412,                 1.6302,                 1.1181,                 1.7813,                0.00505,                0.00505,                0.00505
                     52,                  1.765,                 1.2615,                 1.7994,                0.56128,                0.91406,                0.71417,                 0.3809,                 1.4805,                 1.7745,                 1.6855,               0.004951,               0.004951,               0.004951
                     53,                 1.7663,                 1.2711,                 1.7121,                      1,                0.85688,                0.94905,                0.50546,                  1.664,                 1.0931,                 1.7135,               0.004852,               0.004852,               0.004852
                     54,                 1.7435,                 1.1731,                 1.6919,                 0.9681,                0.80952,                0.94108,                0.49383,                  1.665,                 1.1258,                 1.7419,               0.004753,               0.004753,               0.004753
                     55,                 1.7409,                 1.2043,                 1.7016,                0.81007,                0.90476,                0.88025,                0.48182,                 1.5673,                 1.2472,                 1.6699,               0.004654,               0.004654,               0.004654
                     56,                 1.7195,                 1.1522,                 1.6469,                0.89441,                0.90476,                0.90067,                0.45792,                 1.6713,                 1.1361,                 1.7206,               0.004555,               0.004555,               0.004555
                     57,                 1.6852,                 1.1337,                 1.6419,                0.89096,                0.85714,                0.94604,                0.53236,                 1.6069,                  1.053,                 1.6617,               0.004456,               0.004456,               0.004456
                     58,                 1.6412,                 1.1389,                 1.6042,                0.86296,                0.90476,                0.95664,                0.52084,                 1.4786,                 1.1591,                  1.588,               0.004357,               0.004357,               0.004357
                     59,                 1.5889,                 1.1142,                  1.559,                 0.8668,                0.93016,                0.96162,                  0.494,                 1.6779,                 1.2193,                 1.6708,               0.004258,               0.004258,               0.004258
                     60,                  1.641,                  1.109,                  1.573,                0.70287,                0.78901,                0.78953,                0.38954,                 1.9435,                 1.1749,                 1.8482,               0.004159,               0.004159,               0.004159
                     61,                  1.751,                 1.1683,                 1.6827,                0.94479,                0.90476,                0.95525,                0.52442,                 1.5452,                 1.0424,                 1.6082,                0.00406,                0.00406,                0.00406
                     62,                 1.6254,                 1.1107,                 1.5929,                0.89206,                0.90476,                0.94746,                0.57818,                 1.3098,                 1.0556,                 1.4991,               0.003961,               0.003961,               0.003961
                     63,                 1.5984,                  1.117,                 1.6557,                0.88994,                0.95238,                0.96441,                0.57689,                 1.4344,                 1.0122,                 1.5209,               0.003862,               0.003862,               0.003862
                     64,                 1.5714,                 1.0432,                 1.5782,                0.93014,                0.95238,                0.96866,                0.47297,                 1.5098,                 1.1042,                  1.628,               0.003763,               0.003763,               0.003763
                     65,                 1.6082,                 1.0869,                 1.6291,                 0.9567,                0.71429,                0.85982,                0.45217,                 1.8156,                 1.2575,                 1.8278,               0.003664,               0.003664,               0.003664
                     66,                 1.5953,                  1.085,                 1.6126,                0.90783,                0.93853,                0.92757,                0.53983,                 1.3655,                 1.0205,                 1.5487,               0.003565,               0.003565,               0.003565
                     67,                 1.5341,                 1.0445,                 1.5726,                0.92243,                0.95238,                0.94443,                0.56274,                 1.2832,                 1.0237,                 1.4867,               0.003466,               0.003466,               0.003466
                     68,                 1.5639,                 1.0805,                 1.5642,                0.90905,                0.95192,                 0.9402,                0.56739,                 1.2961,                 1.0219,                 1.4939,               0.003367,               0.003367,               0.003367
                     69,                 1.5164,                 1.0576,                 1.5217,                0.86241,                0.89579,                0.91545,                0.53434,                  1.418,                0.99626,                 1.5596,               0.003268,               0.003268,               0.003268
                     70,                 1.4616,                 1.0011,                 1.4997,                0.80273,                 0.9693,                0.93327,                0.51295,                 1.4271,                 1.0025,                 1.5774,               0.003169,               0.003169,               0.003169
                     71,                 1.5635,                 1.0035,                 1.5718,                0.95141,                0.93289,                0.96016,                0.57918,                 1.3014,                0.95642,                 1.4646,                0.00307,                0.00307,                0.00307
                     72,                 1.5197,                0.98981,                 1.5221,                0.95285,                0.96267,                0.96273,                0.58785,                 1.2768,                0.98055,                 1.4822,               0.002971,               0.002971,               0.002971
                     73,                 1.5602,                 1.0971,                 1.5843,                0.89394,                0.85714,                0.92857,                0.57601,                 1.2857,                0.93529,                 1.4593,               0.002872,               0.002872,               0.002872
                     74,                 1.5277,                 1.0281,                 1.5403,                0.87252,                0.97825,                0.94806,                0.61599,                 1.1998,                0.93989,                 1.5158,               0.002773,               0.002773,               0.002773
                     75,                 1.5507,                 1.0643,                 1.5325,                0.90855,                0.94642,                0.94828,                0.59364,                  1.247,                0.94716,                 1.4416,               0.002674,               0.002674,               0.002674
                     76,                 1.4668,                0.97831,                 1.5163,                0.86193,                0.95238,                0.93711,                0.61197,                 1.3089,                0.88123,                  1.457,               0.002575,               0.002575,               0.002575
                     77,                 1.4425,                0.93851,                 1.5105,                 0.8938,                0.95238,                0.96549,                 0.6529,                 1.2205,                0.89894,                 1.4454,               0.002476,               0.002476,               0.002476
                     78,                 1.4832,                0.97247,                 1.5325,                0.86731,                0.93429,                0.93755,                0.55833,                 1.3715,                0.92946,                 1.4843,               0.002377,               0.002377,               0.002377
                     79,                 1.3957,                0.87832,                 1.4241,                0.90745,                0.93434,                0.96544,                0.63263,                 1.2396,                0.84262,                 1.4546,               0.002278,               0.002278,               0.002278
